training_seed,scenario,step,configured_horizon,horizon,rollout_seed_start,rollout_replications,candidate_index,candidate_label,total_cost,true_cost_advantage,completion_service_level,patients_lost,patient_ineligibility_during_manufacturing_rate
61,routing_persistent_hotspot_cluster2,0,remaining,52,99000010,3,4,specimen_transfer:-1x0.1,2247841974.502434,0.0,0.5382100092454163,1904.0,0.057064184729305606
61,routing_persistent_hotspot_cluster2,6,4,4,99000600,3,0,mdl2,84037798.75375395,0.0,0.4353235530548512,29.0,0.0017006901267260413
61,routing_persistent_hotspot_cluster2,6,4,4,99000600,3,1,specimen_transfer:+1x0.05,82291651.55321011,1746147.2005438358,0.4346873652904792,26.0,0.0017026249502601672
61,routing_persistent_hotspot_cluster2,6,4,4,99000600,3,2,specimen_transfer:-1x0.05,85469457.68564552,-1431658.9318915755,0.4324907753439902,31.333333333333332,0.0017026249502601672
61,routing_persistent_hotspot_cluster2,6,4,4,99000600,3,3,specimen_transfer:+1x0.1,81378188.22898898,2659610.52476497,0.43405117752610717,25.0,0.0017026249502601672
61,routing_persistent_hotspot_cluster2,6,4,4,99000600,3,4,specimen_transfer:-1x0.1,85054257.05361187,-1016458.2998579293,0.43215542993822237,31.0,0.0017026249502601672
61,routing_persistent_hotspot_cluster2,6,remaining,46,99000610,3,0,mdl2,2297777862.9178295,0.0,0.5350533836426098,2051.0,0.060215606662165334
61,routing_persistent_hotspot_cluster2,6,remaining,46,99000610,3,1,specimen_transfer:+1x0.05,2303078066.4802823,-5300203.562452793,0.5348304927477029,2051.0,0.05932128452303257
61,routing_persistent_hotspot_cluster2,6,remaining,46,99000610,3,2,specimen_transfer:-1x0.05,2304018313.822781,-6240450.904951572,0.5332291507184237,2061.3333333333335,0.0600714434348966
61,routing_persistent_hotspot_cluster2,6,remaining,46,99000610,3,3,specimen_transfer:+1x0.1,2306276792.793156,-8498929.875326633,0.5352038076468532,2050.0,0.05929094107492827
61,routing_persistent_hotspot_cluster2,6,remaining,46,99000610,3,4,specimen_transfer:-1x0.1,2304444961.2617292,-6667098.343899727,0.5318479544725935,2068.3333333333335,0.06051681954036964
61,routing_persistent_hotspot_cluster2,12,4,4,99001200,3,0,mdl2,141482766.77477202,0.0,0.5294333686809077,122.0,0.016249157415432022
61,routing_persistent_hotspot_cluster2,12,4,4,99001200,3,1,specimen_transfer:+1x0.05,139786322.93210748,1696443.8426645398,0.5294333686809077,119.33333333333333,0.017264729753896525
61,routing_persistent_hotspot_cluster2,12,4,4,99001200,3,2,specimen_transfer:-1x0.05,141716760.06105778,-233993.28628575802,0.5263043298589166,122.0,0.016265676390232877
61,routing_persistent_hotspot_cluster2,12,4,4,99001200,3,3,specimen_transfer:+1x0.1,138782229.30110094,2700537.4736710787,0.5300591764453061,118.33333333333333,0.01929587443082553
61,routing_persistent_hotspot_cluster2,12,4,4,99001200,3,4,specimen_transfer:-1x0.1,141047808.85960278,434957.91516923904,0.5250527143301201,120.33333333333333,0.016293279022403257
61,routing_persistent_hotspot_cluster2,12,remaining,40,99001210,3,0,mdl2,2172900249.5356755,0.0,0.530409993912848,1936.6666666666667,0.055397185057860836
61,routing_persistent_hotspot_cluster2,12,remaining,40,99001210,3,1,specimen_transfer:+1x0.05,2179923984.1432595,-7023734.607584,0.5300028176694285,1942.0,0.05680186602899401
61,routing_persistent_hotspot_cluster2,12,remaining,40,99001210,3,2,specimen_transfer:-1x0.05,2175307503.1980457,-2407253.662370205,0.5290762606397869,1943.3333333333333,0.056429968328589715
61,routing_persistent_hotspot_cluster2,12,remaining,40,99001210,3,3,specimen_transfer:+1x0.1,2179132660.75531,-6232411.219634533,0.530641577531158,1940.0,0.05660934311549134
61,routing_persistent_hotspot_cluster2,12,remaining,40,99001210,3,4,specimen_transfer:-1x0.1,2173328183.9821944,-427934.446518898,0.5291908617913471,1940.3333333333333,0.055560247199994896
61,routing_persistent_hotspot_cluster2,18,4,4,99001800,3,0,mdl2,246919688.9508487,0.0,0.5152459801505082,243.33333333333334,0.02608698393814457
61,routing_persistent_hotspot_cluster2,18,4,4,99001800,3,1,specimen_transfer:+1x0.05,246574517.80074415,345171.1501045525,0.5148224896452137,242.33333333333334,0.02608066901946493
61,routing_persistent_hotspot_cluster2,18,4,4,99001800,3,2,specimen_transfer:-1x0.05,248085745.6380829,-1166056.687234193,0.514404239841866,244.66666666666666,0.025882328122692658
61,routing_persistent_hotspot_cluster2,18,4,4,99001800,3,3,specimen_transfer:+1x0.1,245645654.61737874,1274034.333469957,0.5149644544379451,241.0,0.02607436325284136
61,routing_persistent_hotspot_cluster2,18,4,4,99001800,3,4,specimen_transfer:-1x0.1,248369419.5484885,-1449730.5976397991,0.5135572588312773,244.66666666666666,0.02591994707897673
61,routing_persistent_hotspot_cluster2,18,remaining,34,99001810,3,0,mdl2,2148210790.7664933,0.0,0.5062742818770193,2002.6666666666667,0.06777472807781205
