algorithm,training_seed,scenario,checkpoint_variant,step,configured_horizon,horizon,rollout_seed_start,rollout_replications,candidate_index,candidate_label,executed_action_id,executed_action_distinct,total_cost,true_cost_advantage,critic_q,critic_advantage,gradient_score,policy_action_linf_to_candidate,completion_service_level,patients_lost,patient_ineligibility_during_manufacturing_rate
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,25,4,4,96202510,3,3,specimen_transfer:+1x0.1,85751f77ad6a58b8,1,277214077.10779023,1989852.8146104217,-0.6508544087409973,0.0019038915634155273,0.001361242844723165,0.0902273952960968,0.47323988315528287,299.6666666666667,0.05021334840930534
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,25,4,4,96202510,3,4,specimen_transfer:-1x0.1,2da1c544b9967e42,1,282249870.95612836,-3045941.0337277055,-0.6546010971069336,-0.001842796802520752,-0.00221577612683177,0.12526099383831024,0.4691901870560529,305.6666666666667,0.05271985951807706
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,25,remaining,27,96202520,3,0,mdl2,3bca89fb27e18c2d,1,1479822354.8214123,0.0,-0.6527583003044128,0.0,-0.0004272666701581329,0.03211813047528267,0.502957089931209,1356.6666666666667,0.057200938047084114
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,25,remaining,27,96202520,3,1,specimen_transfer:+1x0.05,a825bf48aeb8a771,1,1479617439.9767647,204914.84464764595,-0.6520156860351562,0.0007426142692565918,0.00046698807273060083,0.04594167694449425,0.5031052761306981,1356.3333333333333,0.05789635297032361
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,25,remaining,27,96202520,3,2,specimen_transfer:-1x0.05,49e89435039d5a26,1,1482913006.2300541,-3090651.408641815,-0.6535534858703613,-0.0007951855659484863,-0.0013215213548392057,0.0786895602941513,0.5018303022253298,1367.6666666666667,0.059455028334486126
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,25,remaining,27,96202520,3,3,specimen_transfer:+1x0.1,85751f77ad6a58b8,1,1474243431.284569,5578923.5368433,-0.6508544087409973,0.0019038915634155273,0.001361242844723165,0.0902273952960968,0.5043956120040776,1348.3333333333333,0.055568018924068374
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,25,remaining,27,96202520,3,4,specimen_transfer:-1x0.1,2da1c544b9967e42,1,1491860347.7928312,-12037992.971418858,-0.6546010971069336,-0.001842796802520752,-0.00221577612683177,0.12526099383831024,0.500674912308743,1370.0,0.0592815689811518
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,31,1,1,96203100,3,0,mdl2,fb90040fd52573dd,1,58243116.846797965,0.0,-0.7896624207496643,0.0,-0.0001971683232113719,0.029213828966021538,0.463331587218439,48.0,0.053293112116641526
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,31,1,1,96203100,3,1,specimen_transfer:+1x0.05,d12f0676fb921ccd,1,57601051.138531566,642065.7082663998,-0.7904794216156006,-0.0008170008659362793,-0.0010735703399404883,0.05935301259160042,0.463331587218439,48.0,0.053293112116641526
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,31,1,1,96203100,3,2,specimen_transfer:-1x0.05,405f2a30fc75306d,1,57133646.36982349,1109470.4769744724,-0.7888494729995728,0.0008129477500915527,0.0006792335771024227,0.0698121190071106,0.463331587218439,47.0,0.05334675390035229
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,31,1,1,96203100,3,3,specimen_transfer:+1x0.1,8ae87de97f5e7f2d,1,56409000.667674325,1834116.17912364,-0.7913882732391357,-0.0017258524894714355,-0.0019499727059155703,0.10935301333665848,0.463331587218439,47.0,0.053293112116641526
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,31,1,1,96203100,3,4,specimen_transfer:-1x0.1,a9b39973053d395f,1,56738089.541399896,1505027.3053980693,-0.7879522442817688,0.0017101764678955078,0.0015556359430775046,0.11305290460586548,0.463331587218439,47.0,0.05337361530715005
